Ticker,Fecha,Renta,Amort.,Total
AL29D,09/01/2022,0.50,-,0.50
AL29D,09/07/2022,0.50,-,0.50
AL29D,09/01/2023,0.50,-,0.50
AL29D,09/07/2023,0.50,-,0.50
AL29D,09/01/2024,0.50,-,0.50
AL29D,09/07/2024,0.50,-,0.50
AL29D,09/01/2025,0.50,10.00,10.50
AL29D,09/07/2025,0.45,10.00,10.45
AL29D,09/01/2026,0.40,10.00,10.40
AL29D,09/07/2026,0.35,10.00,10.35
AL29D,09/01/2027,0.30,10.00,10.30
AL29D,09/07/2027,0.25,10.00,10.25
AL29D,09/01/2028,0.20,10.00,10.20
AL29D,09/07/2028,0.15,10.00,10.15
AL29D,09/01/2029,0.10,10.00,10.10
AL29D,09/07/2029,0.05,10.00,10.05
AL30D,09/01/2022,0.25,-,0.25
AL30D,09/07/2022,0.25,-,0.25
AL30D,09/01/2023,0.25,-,0.25
AL30D,09/07/2023,0.25,-,0.25
AL30D,09/01/2024,0.375,-,0.375
AL30D,09/07/2024,0.375,4.00,4.375
AL30D,09/01/2025,0.36,8.00,8.36
AL30D,09/07/2025,0.33,8.00,8.33
AL30D,09/01/2026,0.30,8.00,8.30
AL30D,09/07/2026,0.27,8.00,8.27
AL30D,09/01/2027,0.24,8.00,8.24
AL30D,09/07/2027,0.21,8.00,8.21
AL30D,09/01/2028,0.42,8.00,8.42
AL30D,09/07/2028,0.35,8.00,8.35
AL30D,09/01/2029,0.28,8.00,8.28
AL30D,09/07/2029,0.21,8.00,8.21
AL30D,09/01/2030,0.14,8.00,8.14
AL30D,09/07/2030,0.07,8.00,8.07
AL35D,09/01/2022,0.563,-,0.563
AL35D,09/07/2022,0.563,-,0.563
AL35D,09/01/2023,0.75,-,0.75
AL35D,09/07/2023,0.75,-,0.75
AL35D,09/01/2024,1.813,-,1.813
AL35D,09/07/2024,1.813,-,1.813
AL35D,09/01/2025,2.063,-,2.063
AL35D,09/07/2025,2.063,-,2.063
AL35D,09/01/2026,2.063,-,2.063
AL35D,09/07/2026,2.063,-,2.063
AL35D,09/01/2027,2.063,-,2.063
AL35D,09/07/2027,2.063,-,2.063
AL35D,09/01/2028,2.375,-,2.375
AL35D,09/07/2028,2.375,-,2.375
AL35D,09/01/2029,2.50,-,2.50
AL35D,09/07/2029,2.50,-,2.50
AL35D,09/01/2030,2.50,-,2.50
AL35D,09/07/2030,2.50,-,2.50
AL35D,09/01/2031,2.50,10.00,12.50
AL35D,09/07/2031,2.25,10.00,12.25
AL35D,09/01/2032,2.00,10.00,12.00
AL35D,09/07/2032,1.75,10.00,11.75
AL35D,09/01/2033,1.50,10.00,11.50
AL35D,09/07/2033,1.25,10.00,11.25
AL35D,09/01/2034,1.00,10.00,11.00
AL35D,09/07/2034,0.75,10.00,10.75
AL35D,09/01/2035,0.50,10.00,10.50
AL35D,09/07/2035,0.25,10.00,10.25
AE38D,09/01/2022,1.000,-,1.000
AE38D,09/07/2022,1.000,-,1.000
AE38D,09/01/2023,1.938,-,1.938
AE38D,09/07/2023,1.938,-,1.938
AE38D,09/01/2024,2.125,-,2.125
AE38D,09/07/2024,2.125,-,2.125
AE38D,09/01/2025,2.50,-,2.50
AE38D,09/07/2025,2.50,-,2.50
AE38D,09/01/2026,2.50,-,2.50
AE38D,09/07/2026,2.50,-,2.50
AE38D,09/01/2027,2.50,-,2.50
AE38D,09/07/2027,2.50,4.545,7.045
AE38D,09/01/2028,2.386,4.545,6.932
AE38D,09/07/2028,2.273,4.545,6.818
AE38D,09/01/2029,2.159,4.545,6.705
AE38D,09/07/2029,2.045,4.545,6.591
AE38D,09/01/2030,1.932,4.545,6.477
AE38D,09/07/2030,1.818,4.545,6.364
AE38D,09/01/2031,1.705,4.545,6.250
AE38D,09/07/2031,1.591,4.545,6.136
AE38D,09/01/2032,1.477,4.545,6.023
AE38D,09/07/2032,1.364,4.545,5.909
AE38D,09/01/2033,1.25,4.545,5.795
AE38D,09/07/2033,1.136,4.545,5.682
AE38D,09/01/2034,1.023,4.545,5.568
AE38D,09/07/2034,0.909,4.545,5.455
AE38D,09/01/2035,0.795,4.545,5.341
AE38D,09/07/2035,0.682,4.545,5.227
AE38D,09/01/2036,0.568,4.545,5.114
AE38D,09/07/2036,0.455,4.545,5.000
AE38D,09/01/2037,0.341,4.545,4.886
AE38D,09/07/2037,0.227,4.545,4.773
AE38D,09/01/2038,0.114,4.545,4.659
AL41D,09/01/2022,1.25,-,1.25
AL41D,09/07/2022,1.25,-,1.25
AL41D,09/01/2023,1.75,-,1.75
AL41D,09/07/2023,1.75,-,1.75
AL41D,09/01/2024,1.75,-,1.75
AL41D,09/07/2024,1.75,-,1.75
AL41D,09/01/2025,1.75,-,1.75
AL41D,09/07/2025,1.75,-,1.75
AL41D,09/01/2026,1.75,-,1.75
AL41D,09/07/2026,1.75,-,1.75
AL41D,09/01/2027,1.75,-,1.75
AL41D,09/07/2027,1.75,-,1.75
AL41D,09/01/2028,1.75,3.571,5.321
AL41D,09/07/2028,1.688,3.571,5.259
AL41D,09/01/2029,1.625,3.571,5.196
AL41D,09/07/2029,1.563,3.571,5.134
AL41D,09/01/2030,2.089,3.571,5.661
AL41D,09/07/2030,2.002,3.571,5.574
AL41D,09/01/2031,1.915,3.571,5.487
AL41D,09/07/2031,1.828,3.571,5.400
AL41D,09/01/2032,1.741,3.571,5.313
AL41D,09/07/2032,1.654,3.571,5.225
AL41D,09/01/2033,1.567,3.571,5.138
AL41D,09/07/2033,1.480,3.571,5.051
AL41D,09/01/2034,1.393,3.571,4.964
AL41D,09/07/2034,1.306,3.571,4.877
AL41D,09/01/2035,1.219,3.571,4.790
AL41D,09/07/2035,1.132,3.571,4.703
AL41D,09/01/2036,1.045,3.571,4.616
AL41D,09/07/2036,0.958,3.571,4.529
AL41D,09/01/2037,0.871,3.571,4.442
AL41D,09/07/2037,0.783,3.571,4.355
AL41D,09/01/2038,0.696,3.571,4.268
AL41D,09/07/2038,0.609,3.571,4.181
AL41D,09/01/2039,0.522,3.571,4.094
AL41D,09/07/2039,0.435,3.571,4.007
AL41D,09/01/2040,0.348,3.571,3.920
AL41D,09/07/2040,0.261,3.571,3.833
AL41D,09/01/2041,0.174,3.571,3.746
AL41D,09/07/2041,0.087,3.571,3.658
GD29D,09/01/2022,0.50,-,0.50
GD29D,09/07/2022,0.50,-,0.50
GD29D,09/01/2023,0.50,-,0.50
GD29D,09/07/2023,0.50,-,0.50
GD29D,09/01/2024,0.50,-,0.50
GD29D,09/07/2024,0.50,-,0.50
GD29D,09/01/2025,0.50,10.00,10.50
GD29D,09/07/2025,0.45,10.00,10.45
GD29D,09/01/2026,0.40,10.00,10.40
GD29D,09/07/2026,0.35,10.00,10.35
GD29D,09/01/2027,0.30,10.00,10.30
GD29D,09/07/2027,0.25,10.00,10.25
GD29D,09/01/2028,0.20,10.00,10.20
GD29D,09/07/2028,0.15,10.00,10.15
GD29D,09/01/2029,0.10,10.00,10.10
GD29D,09/07/2029,0.05,10.00,10.05
GD30D,09/01/2022,0.25,-,0.25
GD30D,09/07/2022,0.25,-,0.25
GD30D,09/01/2023,0.25,-,0.25
GD30D,09/07/2023,0.25,-,0.25
GD30D,09/01/2024,0.375,-,0.375
GD30D,09/07/2024,0.375,4.00,4.375
GD30D,09/01/2025,0.36,8.00,8.36
GD30D,09/07/2025,0.33,8.00,8.33
GD30D,09/01/2026,0.30,8.00,8.30
GD30D,09/07/2026,0.27,8.00,8.27
GD30D,09/01/2027,0.24,8.00,8.24
GD30D,09/07/2027,0.21,8.00,8.21
GD30D,09/01/2028,0.42,8.00,8.42
GD30D,09/07/2028,0.35,8.00,8.35
GD30D,09/01/2029,0.28,8.00,8.28
GD30D,09/07/2029,0.21,8.00,8.21
GD30D,09/01/2030,0.14,8.00,8.14
GD30D,09/07/2030,0.07,8.00,8.07
GD35D,09/01/2022,0.563,-,0.563
GD35D,09/07/2022,0.563,-,0.563
GD35D,09/01/2023,0.75,-,0.75
GD35D,09/07/2023,0.75,-,0.75
GD35D,09/01/2024,1.813,-,1.813
GD35D,09/07/2024,1.813,-,1.813
GD35D,09/01/2025,2.063,-,2.063
GD35D,09/07/2025,2.063,-,2.063
GD35D,09/01/2026,2.063,-,2.063
GD35D,09/07/2026,2.063,-,2.063
GD35D,09/01/2027,2.063,-,2.063
GD35D,09/07/2027,2.063,-,2.063
GD35D,09/01/2028,2.375,-,2.375
GD35D,09/07/2028,2.375,-,2.375
GD35D,09/01/2029,2.50,-,2.50
GD35D,09/07/2029,2.50,-,2.50
GD35D,09/01/2030,2.50,-,2.50
GD35D,09/07/2030,2.50,-,2.50
GD35D,09/01/2031,2.50,10.00,12.50
GD35D,09/07/2031,2.25,10.00,12.25
GD35D,09/01/2032,2.00,10.00,12.00
GD35D,09/07/2032,1.75,10.00,11.75
GD35D,09/01/2033,1.50,10.00,11.50
GD35D,09/07/2033,1.25,10.00,11.25
GD35D,09/01/2034,1.00,10.00,11.00
GD35D,09/07/2034,0.75,10.00,10.75
GD35D,09/01/2035,0.50,10.00,10.50
GD35D,09/07/2035,0.25,10.00,10.25
GD38D,09/01/2022,1.000,-,1.000
GD38D,09/07/2022,1.000,-,1.000
GD38D,09/01/2023,1.938,-,1.938
GD38D,09/07/2023,1.938,-,1.938
GD38D,09/01/2024,2.125,-,2.125
GD38D,09/07/2024,2.125,-,2.125
GD38D,09/01/2025,2.50,-,2.50
GD38D,09/07/2025,2.50,-,2.50
GD38D,09/01/2026,2.50,-,2.50
GD38D,09/07/2026,2.50,-,2.50
GD38D,09/01/2027,2.50,-,2.50
GD38D,09/07/2027,2.50,4.545,7.045
GD38D,09/01/2028,2.386,4.545,6.932
GD38D,09/07/2028,2.273,4.545,6.818
GD38D,09/01/2029,2.159,4.545,6.705
GD38D,09/07/2029,2.045,4.545,6.591
GD38D,09/01/2030,1.932,4.545,6.477
GD38D,09/07/2030,1.818,4.545,6.364
GD38D,09/01/2031,1.705,4.545,6.250
GD38D,09/07/2031,1.591,4.545,6.136
GD38D,09/01/2032,1.477,4.545,6.023
GD38D,09/07/2032,1.364,4.545,5.909
GD38D,09/01/2033,1.25,4.545,5.795
GD38D,09/07/2033,1.136,4.545,5.682
GD38D,09/01/2034,1.023,4.545,5.568
GD38D,09/07/2034,0.909,4.545,5.455
GD38D,09/01/2035,0.795,4.545,5.341
GD38D,09/07/2035,0.682,4.545,5.227
